Date,Close,High,Low,Open,Volume
26-06-2017,370.6956177,375.6287212,364.9304349,373.7466153,32940624
03-07-2017,370.6361694,384.3458146,369.7050078,372.894677,24089484
10-07-2017,385.1581421,398.9470406,372.4588839,373.7268339,46928632
17-07-2017,388.3477173,398.1346713,383.137271,386.3269399,34639202
24-07-2017,395.1828003,397.8177583,381.2948445,389.6949853,43920094
31-07-2017,389.7939758,404.8310138,386.7429788,393.0232825,41094596
07-08-2017,391.3591309,395.044091,378.4221206,389.6949483,31685642
14-08-2017,365.8219604,407.8226404,350.3490733,391.4780362,200183770
21-08-2017,361.4237671,366.1191162,340.7602164,366.1191162,243314488
28-08-2017,364.5144043,377.9863208,360.5718827,374.0239924,93687538
04-09-2017,350.3887024,364.9700664,349.5169853,364.9304527,42542144
11-09-2017,359.8784485,361.8596125,346.168803,352.8057025,69664690
18-09-2017,355.9358826,363.6426146,351.85469,360.5718107,46085260
25-09-2017,356.5699768,359.9379563,352.2906424,357.0058233,45698414
02-10-2017,364.5935974,365.3266184,355.4802436,356.5698837,27124622
09-10-2017,368.5361328,372.4390406,362.1567941,364.534191,34092256
16-10-2017,367.2880859,373.2513862,365.7031544,370.854182,19707138
23-10-2017,374.9748535,379.4721097,362.6520247,368.4964577,79851772
30-10-2017,367.1691284,378.2636467,363.3256655,378.2636467,36941672
06-11-2017,386.5180359,387.4420905,370.6885087,370.8893912,35192008
13-11-2017,390.0937195,400.1177608,378.9648244,386.5180013,41523614
20-11-2017,405.6018677,409.5190766,384.5895622,389.3103012,47625296
27-11-2017,385.2123108,404.4568658,384.509222,404.4568658,35824612
04-12-2017,402.5083008,404.5774006,389.1295297,393.7297444,48811226
11-12-2017,410.9654541,412.3716317,399.3343517,399.7361167,36229636
18-12-2017,417.5744629,419.7641117,401.122205,406.5460327,39306774
25-12-2017,418.6593018,421.3712159,411.0056577,417.5745067,32814318
01-01-2018,406.5862122,419.6435757,404.175622,416.9115539,38363730
08-01-2018,433.2834167,436.2765952,409.820357,411.7689318,59803386
15-01-2018,459.3981323,468.0160203,427.9198569,433.9061648,78643552
22-01-2018,472.2345886,490.5751706,454.7979779,454.8582525,59207642
29-01-2018,459.317749,480.61129,449.394175,468.6788914,51914952
05-02-2018,445.6176758,463.9783173,439.9929656,458.0121167,41944288
12-02-2018,453.2110901,458.675085,438.0042435,447.8877031,32513642
19-02-2018,464.2997437,468.4580017,443.4481298,453.3516471,54741594
26-02-2018,466.3487549,477.8994994,452.2468123,462.4315459,35547902
05-03-2018,467.4134216,470.3864925,457.2286885,466.3487345,31475584
12-03-2018,470.8283691,480.9126599,469.7034076,472.4755957,44744058
19-03-2018,469.1008301,474.2836087,458.9562633,467.6544858,42594632
26-03-2018,454.7176819,468.8196247,452.4878663,468.8196247,25291132
02-04-2018,452.7891541,462.5520631,449.9767991,458.413864,30664458
09-04-2018,470.6474609,476.452993,444.1109194,451.9855014,63425918
16-04-2018,473.4599304,479.5868465,442.7450167,442.7450167,78371638
23-04-2018,476.1717834,487.903349,460.101186,469.2614462,60916486
30-04-2018,471.3105774,485.3120798,464.0386397,474.7657471,27162318
07-05-2018,474.3840942,478.100421,466.4693422,474.5849768,20635588
14-05-2018,475.3682251,485.3320146,470.0649479,475.8302646,32908330
21-05-2018,493.4878845,501.6637911,470.0649694,473.9018441,42292574
28-05-2018,490.4747314,500.6996311,484.367874,494.5727148,40170490
04-06-2018,506.243988,507.0274101,486.9391609,490.5952125,26155306
11-06-2018,514.7614136,518.8795049,495.8181837,508.4537226,46334646
